"date","LE_downscaled"
"2022-03-01",8.96358819395887
"2022-03-02",8.95072360785798
"2022-03-03",8.98027969336099
"2022-03-04",9.02093901097045
"2022-03-05",9.01048660021213
"2022-03-06",9.02211132713976
"2022-03-07",9.05124958847881
"2022-03-08",8.981771922518
"2022-03-09",9.02880646195751
"2022-03-10",8.99537843448396
"2022-03-11",9.08978208684766
"2022-03-12",9.01703460647089
"2022-03-13",8.9943495817494
"2022-03-14",9.01535283803149
"2022-03-15",9.02306111790846
"2022-03-16",9.00319928603418
"2022-03-17",9.04274231151637
"2022-03-18",9.00144997459083
"2022-03-19",8.99093578030952
"2022-03-20",9.03377427607738
"2022-03-21",8.96072939704756
"2022-03-22",8.97163994833654
"2022-03-23",8.97505060824135
"2022-03-24",9.00255474775619
"2022-03-25",9.0216128702424
"2022-03-26",9.03014685025292
"2022-03-27",9.05792168537273
"2022-03-28",9.03333393757877
"2022-03-29",9.02831114659522
"2022-03-30",9.05385601540637
"2022-03-31",9.01707597001594
"2022-04-01",9.03005208061172
"2022-04-02",9.07676827783107
"2022-04-03",9.03109035795149
"2022-04-04",9.01282913819403
"2022-04-05",9.00439882884074
"2022-04-06",9.01665971661951
"2022-04-07",9.0048213653073
"2022-04-08",8.97106661818675
"2022-04-09",8.97853823575531
"2022-04-10",8.99755237675058
"2022-04-11",8.98291229974745
"2022-04-12",8.99616538901834
"2022-04-13",9.01879962558957
"2022-04-14",9.03412246288068
"2022-04-15",8.97416678970907
"2022-04-16",8.9809593121139
"2022-04-17",8.99467368345051
"2022-04-18",8.99518680084485
"2022-04-19",9.00795871166125
"2022-04-20",9.00202016320556
"2022-04-21",9.00701520396268
"2022-04-22",9.00168035382911
"2022-04-23",8.96566160710334
"2022-04-24",9.03496334710038
"2022-04-25",9.04205588610415
"2022-04-26",9.05192711287501
"2022-04-27",8.99485798684113
"2022-04-28",9.0459890880085
"2022-04-29",9.02562670488015
"2022-04-30",8.99688846567301
"2022-05-01",8.9861774018608
"2022-05-02",8.99617481362354
"2022-05-03",8.97173210003185
"2022-05-04",9.04888505975144
"2022-05-05",9.09828046279408
"2022-05-06",9.20489264401876
"2022-05-07",9.16059595239046
"2022-05-08",9.01224690702821
"2022-05-09",8.98427834391258
"2022-05-10",8.99612611983
"2022-05-11",8.98955717000412
"2022-05-12",9.02750063054784
"2022-05-13",9.0022348347685
"2022-05-14",8.98934092767365
"2022-05-15",9.07225127399337
"2022-05-16",9.02497902506709
"2022-05-17",8.96024036475541
"2022-05-18",8.99316784097489
"2022-05-19",9.05108151635271
"2022-05-20",9.02591939123059
"2022-05-21",8.99873516470345
"2022-05-22",8.96202109154943
"2022-05-23",8.9833468787651
"2022-05-24",9.07409849661298
"2022-05-25",9.07019723364849
"2022-05-26",9.20858028259868
"2022-05-27",9.16523442891744
"2022-05-28",9.12334572391828
"2022-05-29",9.19763203288888
"2022-05-30",9.1089129882296
"2022-05-31",9.06579018353814
"2022-06-01",9.0156816520352
"2022-06-02",9.03256478507644
"2022-06-03",8.97918329762248
"2022-06-04",8.99616434183998
"2022-06-05",8.99835085024687
"2022-06-06",8.9944893800599
"2022-06-07",8.98826233396719
"2022-06-08",8.99798171987646
"2022-06-09",9.07039462676855
"2022-06-10",9.09900353944875
"2022-06-11",9.00802101877342
"2022-06-12",8.97779212117681
"2022-06-13",8.9944087473265
"2022-06-14",9.05913903021134
"2022-06-15",9.00530620888603
"2022-06-16",8.99625596994611
"2022-06-17",8.99497265287109
"2022-06-18",9.01269195782942
"2022-06-19",8.98131168763063
"2022-06-20",9.01481092323237
"2022-06-21",8.99716125563469
"2022-06-22",8.99282593724172
"2022-06-23",9.00490304521905
"2022-06-24",9.00361763378732
"2022-06-25",9.02009969751829
"2022-06-26",9.0344250974255
"2022-06-27",9.00363910094361
"2022-06-28",8.98365213125582
"2022-06-29",8.98003255926903
"2022-06-30",9.02720689701904
"2022-07-01",9.1574470870746
"2022-07-02",9.12566260603047
"2022-07-03",9.07160830648291
"2022-07-04",8.99505485637202
"2022-07-05",9.03736871578363
"2022-07-06",8.97857279264105
"2022-07-07",8.98288245516431
"2022-07-08",8.92521643746764
"2022-07-09",8.95550659499806
"2022-07-10",8.98281491216036
"2022-07-11",9.03611053098915
"2022-07-12",9.07886211095347
"2022-07-13",8.97875133655072
"2022-07-14",8.98790158102362
"2022-07-15",9.01843730187847
"2022-07-16",8.96940474613611
"2022-07-17",8.97713658752609
"2022-07-18",9.03584454768678
"2022-07-19",9.0452309308789
"2022-07-20",9.01861584578813
"2022-07-21",9.03367060542016
"2022-07-22",9.02687232353436
"2022-07-23",9.05471627242565
"2022-07-24",9.01820482828348
"2022-07-25",9.02115420612257
"2022-07-26",9.07480324764643
"2022-07-27",9.05969298756155
"2022-07-28",9.09260056739227
"2022-07-29",9.03072227475943
"2022-07-30",8.99370609064976
"2022-07-31",8.98490403298016
"2022-08-01",9.00507897118283
"2022-08-02",9.09771446289277
"2022-08-03",9.12722133101306
"2022-08-04",9.07603158785777
"2022-08-05",9.0714072482386
"2022-08-06",9.08987423854297
"2022-08-07",9.08977213865328
"2022-08-08",9.01838860808492
"2022-08-09",9.01372604645577
"2022-08-10",9.02619479913817
"2022-08-11",8.95015603718914
"2022-08-12",9.01603350396275
"2022-08-13",8.97811831723464
"2022-08-14",9.0417040341766
"2022-08-15",9.02666655298745
"2022-08-16",8.99322700655199
"2022-08-17",9.0513705375789
"2022-08-18",9.05035268021708
"2022-08-19",9.01459677525861
"2022-08-20",9.01195683862366
"2022-08-21",9.06258581776942
"2022-08-22",9.01216627429482
"2022-08-23",9.01930541273542
"2022-08-24",9.08368489087107
"2022-08-25",9.19790482285057
"2022-08-26",9.01232911052914
"2022-08-27",9.02400410201785
"2022-08-28",9.04168204343113
"2022-08-29",8.96502492266301
"2022-08-30",8.99526690998907
"2022-08-31",8.98644495593071
"2022-09-01",9.04814365747553
"2022-09-02",8.97935189333776
"2022-09-03",9.00029231891851
"2022-09-04",9.04099875955398
"2022-09-05",9.03325435202373
"2022-09-06",9.02795301159754
"2022-09-07",8.96267296007591
"2022-09-08",8.99233323982532
"2022-09-09",8.99214946002388
"2022-09-10",8.96936547694777
"2022-09-11",9.04610689557352
"2022-09-12",9.03723572413245
"2022-09-13",9.04503877365062
"2022-09-14",9.01657123004845
"2022-09-15",9.01850484488242
"2022-09-16",8.98345683249246
"2022-09-17",9.01723147600178
"2022-09-18",8.99281441827981
"2022-09-19",8.99667641205596
"2022-09-20",9.03699487311061
"2022-09-21",8.99980485739389
"2022-09-22",9.03006255239528
"2022-09-23",9.03763208114011
"2022-09-24",9.0047360202713
"2022-09-25",8.98744605843885
"2022-09-26",8.96473223631257
"2022-09-27",8.98366365021773
"2022-09-28",8.98218032207675
"2022-09-29",8.95292215881597
"2022-09-30",8.97051056647982
